source,manufacturer_name,product_url,product_article_id,sds_pdf,sds_source,sds_language,product_name,sds_pdf_product_name,sds_pdf_published_date,sds_pdf_revision_date,sds_pdf_manufacture_name,sds_pdf_Hazards_identification,sds_filename,crawl_date
carlroth.py,carlroth,https://www.carlroth.com/com/en/a-to-z/polyethylene-glycol-200/p/2631.1,,https://www.carlroth.com/medias/SDB-2631-NO-NO.pdf?context=bWFzdGVyfHNlY3VyaXR5RGF0YXNoZWV0c3wyMzk4MTd8YXBwbGljYXRpb24vcGRmfHNlY3VyaXR5RGF0YXNoZWV0cy9oNTYvaDI3Lzg5NzMxMjMxMjUyNzgucGRmfDZiNDUxMzg1MTM2OTI0NThlN2IyYzRmY2U0N2FlMjcyMzc0ZDJkNDg0Y2MxOWM1ZjVjMjdhMTFkZjNlZmZjOWI,https://www.carlroth.com/com/en/a-to-z/polyethylene-glycol-200/p/2631.1,Norwegian,"Polyethylene glycol 200, 1 l ROTIPURAN® Ph.Eur.",Polyetylenglykol,09/12/2015,08/01/2020,Carl Roth GmbH + Co KG,,downloads/SDB-2631-NO-NO.pdf,29/06/2020
carlroth.py,carlroth,https://www.carlroth.com/com/en/hydrophilic-carbowax-embedding/polyethylene-glycol-400/p/0144.1,,https://www.carlroth.com/medias/SDB-0144-NO-NO.pdf?context=bWFzdGVyfHNlY3VyaXR5RGF0YXNoZWV0c3wyMzk4MzF8YXBwbGljYXRpb24vcGRmfHNlY3VyaXR5RGF0YXNoZWV0cy9oNmEvaDc3Lzg5NzMxMjQ4MjkyMTQucGRmfDcyYTg5ZWI2OWE5OGZjY2I5MTkxNTA4ZmZmYmEyZWJlOTM4NmU3MmZjNWJjM2VmYjlmZjFkMzhkMGM3MjM1NTM,https://www.carlroth.com/com/en/hydrophilic-carbowax-embedding/polyethylene-glycol-400/p/0144.1,Norwegian,"Polyethylene glycol 400, 1 l ROTIPURAN® Ph.Eur.",Polyetylenglykol,09/12/2015,08/01/2020,Carl Roth GmbH + Co KG,,downloads/SDB-0144-NO-NO.pdf,29/06/2020
carlroth.py,carlroth,https://www.carlroth.com/com/en/activated-charcoal/charcoal/p/x865.3,,https://www.carlroth.com/medias/SDB-X865-NO-NO.pdf?context=bWFzdGVyfHNlY3VyaXR5RGF0YXNoZWV0c3wyMTkwNTh8YXBwbGljYXRpb24vcGRmfHNlY3VyaXR5RGF0YXNoZWV0cy9oNDcvaGMwLzg5NzEwNTEwNDA3OTgucGRmfDkxNWVhZDhiOWIzZDkzMjVkMzY3Yzc1ZTg1OWQ4ODM1MGU2NGZiOWMwYmZlYjI5MjlhODE5MGFlZjk5MDZiZjc,https://www.carlroth.com/com/en/activated-charcoal/charcoal/p/x865.3,Norwegian,"Charcoal, 1 kg, plastic p.a., powder, activated",Aktivert karbon,21/01/2019,,Carl Roth GmbH + Co KG,,downloads/SDB-X865-NO-NO.pdf,29/06/2020
carlroth.py,carlroth,https://www.carlroth.com/com/en/a-to-z/polyethylene-glycol-600/p/2633.2,,https://www.carlroth.com/medias/SDB-2633-NO-NO.pdf?context=bWFzdGVyfHNlY3VyaXR5RGF0YXNoZWV0c3wyNDAxODF8YXBwbGljYXRpb24vcGRmfHNlY3VyaXR5RGF0YXNoZWV0cy9oYjAvaDZjLzg5NzMxMjMyNTYzNTAucGRmfGU0YTY4NmEyYzBhM2FhZGQ5NGQzMmM0ZDllMzg5OGIyMzlhMzBiODU1NWQ3ODc3NWM5NjAwYzY0YzBlZjAyYTI,https://www.carlroth.com/com/en/a-to-z/polyethylene-glycol-600/p/2633.2,Norwegian,"Polyethylene glycol 600, 5 l ROTIPURAN® Ph.Eur.",Polyetylenglykol,09/12/2015,08/01/2020,Carl Roth GmbH + Co KG,,downloads/SDB-2633-NO-NO.pdf,29/06/2020
carlroth.py,carlroth,https://www.carlroth.com/com/en/precipitation-concentration/polyethylene-glycol-8000/p/0263.3,,https://www.carlroth.com/medias/SDB-0263-NO-NO.pdf?context=bWFzdGVyfHNlY3VyaXR5RGF0YXNoZWV0c3wyMzk1OTN8YXBwbGljYXRpb24vcGRmfHNlY3VyaXR5RGF0YXNoZWV0cy9oNTYvaGFmLzg5NzA5MjI4MTk2MTQucGRmfDM5NjQ1NWU1ZGM3NjkwYTMxZDMyOTI5YTczZmNjMzFiOWRlMTg1ZWE0YWQwYzYzY2QwNzQxN2VhZjQxZDlhYWI,https://www.carlroth.com/com/en/precipitation-concentration/polyethylene-glycol-8000/p/0263.3,Norwegian,"Polyethylene glycol 8000, 5 kg ROTIPURAN® Ph.Eur.",Polyetylenglykol,09/12/2015,05/07/2019,Carl Roth GmbH + Co KG,,downloads/SDB-0263-NO-NO.pdf,29/06/2020
carlroth.py,carlroth,https://www.carlroth.com/com/en/a-to-z/silicone-anti-foaming-emulsion/p/0734.2,,https://www.carlroth.com/medias/SDB-0734-NO-NO.pdf?context=bWFzdGVyfHNlY3VyaXR5RGF0YXNoZWV0c3wxNzI1NTJ8YXBwbGljYXRpb24vcGRmfHNlY3VyaXR5RGF0YXNoZWV0cy9oN2MvaDBmLzg5NzA5MjQ3NTI5MjYucGRmfDNlNGUxNDU4Zjk2ZDI3OTUxYTM0YjAwMjgxMGNlM2I5Mzc0ZThhNGE5Y2JiOTU2NzI0Y2Q2YzQ0NWY4M2RjZmE,https://www.carlroth.com/com/en/a-to-z/silicone-anti-foaming-emulsion/p/0734.2,Norwegian,"Silicone anti-foaming emulsion, 1 l ",Silikon-antiskummemulsjon,15/09/2017,,Carl Roth GmbH + Co KG,,downloads/SDB-0734-NO-NO.pdf,29/06/2020
carlroth.py,carlroth,https://www.carlroth.com/com/en/silica-gels-unmodified/silica-gel-60/p/9820.3,,https://www.carlroth.com/medias/SDB-9820-NO-NO.pdf?context=bWFzdGVyfHNlY3VyaXR5RGF0YXNoZWV0c3wxOTA5NzF8YXBwbGljYXRpb24vcGRmfHNlY3VyaXR5RGF0YXNoZWV0cy9oOWIvaGU0Lzg5NzEwNzM5MTI4NjIucGRmfDQ1ZjBhYjZhNDhmZWU5Y2EyYjM0NzcxZDg3OWM5MmMyZGVjYjIxMTZiNjM5ZjVhYmNkM2EyYzJhMTkxZWQ4MjE,https://www.carlroth.com/com/en/silica-gels-unmodified/silica-gel-60/p/9820.3,Norwegian,"Silica gel 60, 1 kg 0,07-0,2 mm",Silisiumdioksid 60,27/06/2016,25/08/2017,Carl Roth GmbH + Co KG,,downloads/SDB-9820-NO-NO.pdf,29/06/2020
carlroth.py,carlroth,https://www.carlroth.com/com/en/molecular-sieves/molecular-sieve-3-%C3%A5/p/8487.3,,https://www.carlroth.com/medias/SDB-8487-NO-NO.pdf?context=bWFzdGVyfHNlY3VyaXR5RGF0YXNoZWV0c3wyMzgwMjd8YXBwbGljYXRpb24vcGRmfHNlY3VyaXR5RGF0YXNoZWV0cy9oOTcvaGZlLzg5ODU1Mjc5MTA0MzAucGRmfGM1MjJlNWJlZDY4NDJlOGUzYmRjZmRhNjlhODY1NzIwNTYyMjA2NjNlNzllOTUwNmU3NDBkZDJjMWZiM2Y1NmE,https://www.carlroth.com/com/en/molecular-sieves/molecular-sieve-3-%C3%A5/p/8487.3,Norwegian,"Molecular sieve 3 Å, 2.5 kg, plastic 0,3 nm, type 564, pearls",Molekylsikt,16/09/2015,18/05/2020,Carl Roth GmbH + Co KG,H372,downloads/SDB-8487-NO-NO.pdf,29/06/2020
carlroth.py,carlroth,https://www.carlroth.com/com/en/a-to-z/polyethylene-glycol-20000/p/0165.2,,https://www.carlroth.com/medias/SDB-0165-NO-NO.pdf?context=bWFzdGVyfHNlY3VyaXR5RGF0YXNoZWV0c3wyMzg3NjF8YXBwbGljYXRpb24vcGRmfHNlY3VyaXR5RGF0YXNoZWV0cy9oYjQvaDJiLzg5NzA5MjAyMzA5NDIucGRmfDhhZmJlM2I0ZTZmNjgxZGY3NGNiNmI3YzgyMDE5YWJkOWM1OGFjMDk1Yzk4MWVlZmQ3YTI1ZTJhNTk0YjQxMjE,https://www.carlroth.com/com/en/a-to-z/polyethylene-glycol-20000/p/0165.2,Norwegian,"Polyethylene glycol 20000, 5 kg, plastic ROTIPURAN® Ph.Eur.",Polyetylenglykol,09/12/2015,05/07/2019,Carl Roth GmbH + Co KG,,downloads/SDB-0165-NO-NO.pdf,29/06/2020
carlroth.py,carlroth,https://www.carlroth.com/com/en/hydrophilic-carbowax-embedding/polyethylene-glycol-1000/p/0150.1,,https://www.carlroth.com/medias/SDB-0150-NO-NO.pdf?context=bWFzdGVyfHNlY3VyaXR5RGF0YXNoZWV0c3wyMzgxODh8YXBwbGljYXRpb24vcGRmfHNlY3VyaXR5RGF0YXNoZWV0cy9oODIvaDNiLzg5NzA5MjYxOTQ3MTgucGRmfDMzNjhhNDQyZDI0ZTBmYjk5NWRmZWEwMzgyZDgwYjAxYmQ0ZjgwZDM2MjAxYzllMmJlMDkwNmU3YzRiYWIwMTA,https://www.carlroth.com/com/en/hydrophilic-carbowax-embedding/polyethylene-glycol-1000/p/0150.1,Norwegian,"Polyethylene glycol 1000, 1 kg ROTIPURAN® Ph.Eur.",Polyetylenglykol,09/12/2015,05/07/2019,Carl Roth GmbH + Co KG,,downloads/SDB-0150-NO-NO.pdf,29/06/2020
carlroth.py,carlroth,https://www.carlroth.com/com/en/precipitation-concentration/polyethylene-glycol-6000/p/0158.1,,https://www.carlroth.com/medias/SDB-0158-NO-NO.pdf?context=bWFzdGVyfHNlY3VyaXR5RGF0YXNoZWV0c3wyMzk1OTd8YXBwbGljYXRpb24vcGRmfHNlY3VyaXR5RGF0YXNoZWV0cy9oZDgvaDE5Lzg5NzA5MjEwMTczNzQucGRmfDBhOGE0N2Q5NTJlMjlkYmY2Zjg0YzJhMmY2YjVjODdkNmYxYjhkNjdhZDgyZWE2M2NhNThkMmM1NGY4YWI2Yzk,https://www.carlroth.com/com/en/precipitation-concentration/polyethylene-glycol-6000/p/0158.1,Norwegian,"Polyethylene glycol 6000, 1 kg ROTIPURAN® Ph.Eur.",Polyetylenglykol,09/12/2015,05/07/2019,Carl Roth GmbH + Co KG,,downloads/SDB-0158-NO-NO.pdf,29/06/2020
carlroth.py,carlroth,https://www.carlroth.com/com/en/a-to-z/polyvinylpyrrolidone-k-25/p/4606.7,,https://www.carlroth.com/medias/SDB-4606-NO-NO.pdf?context=bWFzdGVyfHNlY3VyaXR5RGF0YXNoZWV0c3wyMzAxNDV8YXBwbGljYXRpb24vcGRmfHNlY3VyaXR5RGF0YXNoZWV0cy9oMjQvaGEzLzg5NzA5NzE3MDk0NzAucGRmfGIyMTg4NGE5MDBhMDY3MTY4Y2NmZTVkZDUzODU4YzJlYzE3MzI0MmJkZTk5MTc0ZTc5NjJhMTgzMjBiZDEyZWM,https://www.carlroth.com/com/en/a-to-z/polyvinylpyrrolidone-k-25/p/4606.7,Norwegian,"Polyvinylpyrrolidone K 25, 5 kg extra pure",polyvinylpyrrolidon,07/02/2018,24/04/2018,Carl Roth GmbH + Co KG,,downloads/SDB-4606-NO-NO.pdf,29/06/2020
carlroth.py,carlroth,https://www.carlroth.com/com/en/heating-bath-fluids/heating-bath-fluid-rotithermk-%2B-h/p/7143.2,,https://www.carlroth.com/medias/SDB-7143-NO-NO.pdf?context=bWFzdGVyfHNlY3VyaXR5RGF0YXNoZWV0c3wzMTYzODh8YXBwbGljYXRpb24vcGRmfHNlY3VyaXR5RGF0YXNoZWV0cy9oYzMvaGNiLzg5NzEwMDM1MjcxOTgucGRmfGE5YjU0NTg4NTkxNGQ3MTE5YmE0NmI1NjRhZWNkNDA2NTdiYmM5Y2EzMmZkZjNkMzA3NmRiMWMxMDljMmFmMTQ,https://www.carlroth.com/com/en/heating-bath-fluids/heating-bath-fluid-rotithermk-%2B-h/p/7143.2,Norwegian,"Heating bath fluid ROTITHERM®K + H, 5 l ROTITHERM®",Polyglycol ether modified,06/04/2016,,Carl Roth GmbH + Co KG,,downloads/SDB-7143-NO-NO.pdf,29/06/2020
carlroth.py,carlroth,https://www.carlroth.com/com/en/activated-charcoal/charcoal/p/0998.3,,https://www.carlroth.com/medias/SDB-0998-NO-NO.pdf?context=bWFzdGVyfHNlY3VyaXR5RGF0YXNoZWV0c3wyMTkzMDZ8YXBwbGljYXRpb24vcGRmfHNlY3VyaXR5RGF0YXNoZWV0cy9oNzgvaDk1Lzg5NzA5MjUxMTMzNzQucGRmfGE3MjEyZWJlYmM0MTQyZWIwZTJlMjNmYjc3MjAzNDg2NmEwNzJmNmQyZjlkNjA0NWU1NjE5ZjkxNGY3NGRkZmI,https://www.carlroth.com/com/en/activated-charcoal/charcoal/p/0998.3,Norwegian,"Charcoal, 5 kg ~3 mm, steam-activated",Aktivert karbon,21/01/2019,,Carl Roth GmbH + Co KG,,downloads/SDB-0998-NO-NO.pdf,29/06/2020
carlroth.py,carlroth,https://www.carlroth.com/com/en/activated-charcoal/charcoal/p/5966.2,,https://www.carlroth.com/medias/SDB-5966-NO-NO.pdf?context=bWFzdGVyfHNlY3VyaXR5RGF0YXNoZWV0c3wyMTkyMzl8YXBwbGljYXRpb24vcGRmfHNlY3VyaXR5RGF0YXNoZWV0cy9oYWQvaGRiLzg5NzA5Njg1MzA5NzQucGRmfGNjOGExMTg0NmRhMTY1ZTY1NjRjNjFiMTU0MjJhZGM4OTFmYzM2MWNmNTFiMDc1ZmI1ZDU4YTVlMDBhMWM4MjI,https://www.carlroth.com/com/en/activated-charcoal/charcoal/p/5966.2,Norwegian,"Charcoal, 5 kg 1-3 mm, made from peat, grey, steam activated",Aktivert karbon,21/01/2019,,Carl Roth GmbH + Co KG,,downloads/SDB-5966-NO-NO.pdf,29/06/2020
carlroth.py,carlroth,https://www.carlroth.com/com/en/hydrophilic-carbowax-embedding/polyethylene-glycol-1500/p/0152.2,,https://www.carlroth.com/medias/SDB-0152-NO-NO.pdf?context=bWFzdGVyfHNlY3VyaXR5RGF0YXNoZWV0c3wyMzgxOTF8YXBwbGljYXRpb24vcGRmfHNlY3VyaXR5RGF0YXNoZWV0cy9oYmIvaGQzLzg5NzA5MjgxMjgwMzAucGRmfGYwNWM2NzlhNjUzZTQyM2E0NjI0YjQ1OThiZjY4NTVkNmVmNmY4ZWRhYjRlMTkzMTZkYmIyMTU3ODJlMzRmYmY,https://www.carlroth.com/com/en/hydrophilic-carbowax-embedding/polyethylene-glycol-1500/p/0152.2,Norwegian,"Polyethylene glycol 1500, 5 kg, plastic ROTIPURAN® Ph.Eur.",Polyetylenglykol,09/12/2015,05/07/2019,Carl Roth GmbH + Co KG,,downloads/SDB-0152-NO-NO.pdf,29/06/2020
carlroth.py,carlroth,https://www.carlroth.com/com/en/silica-gels-unmodified/silica-gel-60/p/p091.2,,https://www.carlroth.com/medias/SDB-P091-NO-NO.pdf?context=bWFzdGVyfHNlY3VyaXR5RGF0YXNoZWV0c3wxOTEzNjB8YXBwbGljYXRpb24vcGRmfHNlY3VyaXR5RGF0YXNoZWV0cy9oNWEvaGQ1Lzg5NzEwNTkzMzExMDIucGRmfDJmOTU1ODFmYWYyYmJiZGQxZTU0YzI2MjIwZGE2ZDE2NTBkZTA1ZTJhYTk4ODlkNmZkZDY5Zjk5Zjg5ODQ3MjM,https://www.carlroth.com/com/en/silica-gels-unmodified/silica-gel-60/p/p091.2,Norwegian,"Silica gel 60, 1 kg 0,04-0,063 mm (400-230 mesh)",Silisiumdioksid 60,27/06/2016,25/08/2017,Carl Roth GmbH + Co KG,,downloads/SDB-P091-NO-NO.pdf,29/06/2020
carlroth.py,carlroth,https://www.carlroth.com/com/en/a-to-z/silicone-oil-m-350/p/4035.1,,https://www.carlroth.com/medias/SDB-4035-NO-NO.pdf?context=bWFzdGVyfHNlY3VyaXR5RGF0YXNoZWV0c3wyNDgxMTF8YXBwbGljYXRpb24vcGRmfHNlY3VyaXR5RGF0YXNoZWV0cy9oMDAvaGRkLzg5NzA5NzY1NTkxMzQucGRmfGYwY2FhYmE2Y2UyYTcxNDBhMDYwOGU0OWI4MTgzMDlkODI5MjRkM2VhZGVmZTc0ZTViOWQ0OGMzMjdmYTE0MjI,https://www.carlroth.com/com/en/a-to-z/silicone-oil-m-350/p/4035.1,Norwegian,"Silicone oil M 350, 1 kg medium viscous, 350 cSt",Silikonolje,17/03/2016,29/03/2019,Carl Roth GmbH + Co KG,,downloads/SDB-4035-NO-NO.pdf,29/06/2020
